year,total_forest_area
2006,8389.858537952949
2011,8382.090589681604
2007,8381.944093435464
2012,8380.222318208338
2008,8373.720504892593
2013,8368.84914488083
2000,8368.256842351922
2009,8365.239913374313
2014,8358.26525119568
2001,8358.087142796834
2010,8356.633923925692
2002,8348.666405967007
2015,8348.045408361104
2003,8338.068441804631
2016,8330.887028157507
2004,8324.73782361735
2017,8319.689050068511
2005,8314.390672796882
2018,8306.951316501814
2019,8293.888207511263
2020,8282.073343848913
