year,average_population_density
2020,377.0249335481361
2019,374.7485096319289
2017,372.7383032260877
2018,371.1552362904046
2016,370.19983265425816
2015,366.0198058525107
2014,361.05743254321465
2013,355.7884734457256
2012,351.35149511723296
2011,346.89468877262607
2010,338.02636456771535
2009,332.80948382550775
2008,327.74024994656725
2000,325.81730100915064
2007,322.5161030610374
2006,319.32194069172914
2005,318.4491972062583
2004,314.3315979471842
2003,312.95549439970614
2002,310.4483624338984
2001,309.7856458915565
